query,super_category
I'm a parent.,Droit de la famille
Is it possible to check the charges that are charged to me in Brussels?,Droit immobilier
What is amicable debt mediation?,Droit financier
Can I host anyone I want?,Droit immobilier
I signed a declaration of legal cohabitation. Do I have to pay the debts of my legal cohabitant?,Droit de la famille
Do the property I owned before I married become common?,Droit de la famille
My landlord did not register the lease. Can I terminate the lease without notice or compensation in Brussels?,Droit immobilier
What judge can solve our problems before we separate?,Droit de la famille
Is it possible to ask the judge for payment facilities?,Droit financier
I receive the confidences as a professional.,Droit du travail
How long after my TV royalty debt is prescribed?,Droit financier
Does my adult child who lives at home still benefit from my insurance?,Droit financier
What is the timetable for the exchange of findings?,Droit pénal
How is an expulsion taking place in Wallonia?,Droit immobilier
What do I risk if I get caught with cannabis on me?,Droit pénal
"We split up, what's the fate of the house we bought together?",Droit de la famille
"I'm summoned for a police hearing as a witness, what will happen?",Droit pénal
Do I have to help my legal cohabitant if he is in need?,Droit de la famille
How and how often do home visits take place in Wallonia?,Droit immobilier
What is the difference between the package and the provision for expenses?,Droit immobilier
"If I am stateless, what conditions can I apply for Belgian citizenship?",Droit des étrangers
Can I choose which rules apply to my lease in Brussels?,Droit immobilier
Do I have to install fire detectors in the city?,Droit financier
Can the administrator object to an expense?,Droit de la famille
"I signed a declaration of legal cohabitation. In legal cohabitation, do we have to share all the expenses?",Droit de la famille
What steps are taken to be recognized as the father of my child if neither I nor the mother are married?,Droit de la famille
I'm a victim of domestic violence.,Droit de la famille
I'm a tenant.,Droit financier
Does the judge have to choose?,Droit de la famille
Is the expulsion interrupted if I am in RCD (collective debt regulation) in Brussels?,Droit immobilier
Under what conditions can I obtain the extension for exceptional circumstances in Brussels?,Droit immobilier
Does the criminal fine cancel after a certain period of time (prescription)?,Droit pénal
I work and live alone. How can I challenge the amount I have to pay?,Droit financier
"If the person allowed me to reveal, can I be prosecuted for professional secrecy?",Droit du travail
A criminal record extract is a certificate of good life and morals.,Droit pénal
How is the procedure for urgent and temporary measures between legal cohabitants going?,Droit de la famille
Is it possible to not listen to my music with the highest volume?,Droit immobilier
I make sure the owner has obtained a rental permit. What are the criteria for granting a rental permit in Wallonia?,Droit immobilier
I'm getting married.,Droit de la famille
I make sure the owner has a permit.,Droit immobilier
What are the risks if I get caught with cannabis?,Droit pénal
"I'm hosting a friend/friend. My friend lives at home and pays for it, may I ask him to leave?",Droit immobilier
"I am a victim of domestic violence. The perpetrator of the violence is foreign non-European, am I going to lose my residence permit?",Droit de la famille
Can society expel my social housing in Wallonia?,Droit immobilier
I live with my family in Belgium. I have a child in Belgium. I am a foreigner. Can the municipality refuse to recognize my child?,Droit des étrangers
Do criminal records disappear after a certain period of time?,Droit pénal
I'm a parent. I don't trust my ex. On which other account can I pay the food contribution?,Droit de la famille
What if I don't agree with the Family Court ruling?,Droit de la famille
What is the duration of a rental lease?,Droit immobilier
"If my child leaves the house, do I still have to pay the maintenance contribution?",Droit de la famille
Can we grab my furniture from my friend's house?,Droit financier
My child's name is spelled wrong in his birth certificate.,Droit de la famille
What if the usher grabs a piece of furniture that doesn't belong to me?,Droit financier
"If I am a spouse of a Belgian, how do I apply for a declaration of nationality?",Droit des étrangers
I am married.Does my spouse's salary also belong to me?,Droit de la famille
I'm a victim of domestic violence.,Droit de la famille
"My neighbor's tree bothers me, what are the planting distances?",Droit immobilier
"If my opponent doesn't come to the first hearing, what happens?",Droit pénal
What if we don't agree on everything?,Droit de la famille
We are not married. Can I recognize my child before he is born and how to do it?,Droit de la famille
"I'm a friend of the victim of domestic violence, can I file a complaint?",Droit de la famille
Can the owner terminate the official rental lease before expiry in Brussels?,Droit immobilier
What procedure must the CPAS follow to recover social assistance?,Droit de la protection sociale
I don't know how to designate a trusted person.,Droit de la famille
I got into a fight at the end of a party.,Droit pénal
What is a detailed medical certificate?,Droit de la famille
"I'm a parent, can I call it the SECAL?",Droit de la famille
Do I have to register with the National Bank if I don't pay off my mortgage?,Droit financier
"My father just died, do I have to pay his debts?",Droit financier
Who has to pay funeral expenses?,Droit financier
I get the confidences as a professional. How do I know if I'm bound to professional secrecy?,Droit du travail
I live with my family in Belgium.,Droit des étrangers
Is it possible for the owner to end the informal rental lease before it ends in Brussels?,Droit immobilier
What if the owner refuses to release the rental guarantee in Brussels?,Droit immobilier
I'm getting married.,Droit de la famille
Who can do the health survey in Wallonia?,Droit immobilier
What if I can't agree with the other parent on a decision about our minor child?,Droit de la famille
Can we take my income if I don't pay my consumer credit?,Droit financier
I'm married. Who owns the car?,Droit de la famille
