question,super_category,English_translated,English_Paraphrase,French_Paraphrase
Je suis travailleur salarié(e). Puis-je refuser de faire des heures supplémentaires ou de travailler de nuit ?,Droit du travail,I am a salaried worker. Can I refuse to work overtime or night work?,Can I refuse to work overtime or night work?,Puis-je refuser de faire des heures supplémentaires ou du travail de nuit?
Peut-on saisir tous mes revenus ?,Droit financier,Can I get all my income?,Can I get all my income?,Puis-je obtenir tous mes revenus?
Je suis marié(e). Nous sommes mariés. Dois-je reconnaître mon enfant ?,Droit de la famille,I'm married. We're married. Do I have to recognize my child?,I'm married and I don't know if I have to recognize my child.,Je suis marié et je ne sais pas si je dois reconnaître mon enfant.
Je mets un kot en location (bail de droit commun). Pour quels logements le permis de location est-il nécessaire en Wallonie ?,Droit immobilier,I put a kot for rent (common law lease). For which accommodation is the rental permit required in Wallonia?,I put a kot for rent in Wallonia.,J'ai mis un kot à louer en Wallonie.
Suis-je payé pendant la procédure du trajet de réintégration ?,Droit du travail,Am I paid during the reintegration process?,Is it possible that I am paid during the process?,Est-il possible que je sois payé pendant le processus?
Quand faire l'état des lieux à Bruxelles ?,Droit immobilier,When are we going to take stock of the situation in Brussels?,When will we take a look at the situation in Brussels?,Quand allons-nous jeter un coup d'œil à la situation à Bruxelles?
Mon cohabitant légal est décédé. Quels sont mes droits dans sa succession ?,Droit financier,My legal cohabitant died. What are my rights in his estate?,I don't know what my rights are in his estate.,Je ne sais pas ce que mes droits sont dans son domaine.
Je suis parent. Dois-je encore payer une contribution alimentaire si je n'ai plus de contact avec mes enfants ?,Droit de la famille,Do I still have to pay a food contribution if I don't have contact with my children?,"If I don't have contact with my children, do I still have to pay a food contribution?","Si je n'ai pas de contact avec mes enfants, dois-je encore payer une contribution alimentaire?"
Le CPAS peut-il faire des retenues sur mon RIS ?,Droit de la protection sociale,Can the CPAS make deductions from my RIS?,Can the CPAS make deductions from my RIS?,Le CPAS peut-il faire des déductions de mon RIS?
Quel bail est considéré comme un bail 9 ans à Bruxelles ?,Droit immobilier,What lease is considered a 9-year lease in Brussels?,Is a 9-year lease in Brussels considered a lease?,Un bail de 9 ans à Bruxelles est-il considéré comme un bail?
"J'introduis une demande en justice. J'ai fait appel du jugement, que se passe-t-il en attendant le nouveau jugement ?",Droit pénal,"I brought a lawsuit. I appealed the judgment, what happened while waiting for the new judgment?",What happened when I appealed the judgment?,Que s'est-il passé quand j'ai fait appel du jugement ?
Je suis majeur. Je suis marié à un/une Belge. Puis-je introduire un recours en cas d'avis négatif concernant ma demande de nationalité ?,Droit des étrangers,I am an adult. I am married to a Belgian. Can I appeal in case of a negative opinion concerning my application for nationality?,Can I appeal in case of a negative opinion on my application for nationality?,Puis-je faire appel en cas d'avis négatif sur ma demande de nationalité?
Qu’est-ce que la transaction pénale ?,Droit pénal,What is the criminal transaction?,What is the criminal transaction?,Qu'est-ce que l'opération criminelle?
"Je viens d’obtenir un logement social, comment puis-je rompre mon bail en cours en Wallonie ?",Droit immobilier,"I just got social housing, how can I break my current lease in Wallonia?",How can I break my lease in Wallonia because I just got social housing?,Comment puis-je rompre mon bail en Wallonie parce que je viens d'avoir un logement social ?
Va-t-on me ficher si je suis en règlement collectif de dettes ?,Droit financier,Will anyone care if I'm in collective debt settlement?,Will anyone care if I'm in debt settlement?,Est-ce que quelqu'un s'en fiche si je suis en règlement de dettes ?
Qu'est-ce que je risque comme sanctions si je travaille au noir ?,Droit du travail,What kind of sanctions do I risk if I work in the dark?,What kind of sanctions do I face if I work in the dark?,Quel genre de sanctions dois-je faire si je travaille dans l'obscurité ?
Comment introduire un recours contre la décision d’un organisme de sécurité sociale à Bruxelles ?,Droit immobilier,How can we bring an action against the decision of a social security body in Brussels?,How can we challenge the decision of a social security body?,Comment contester la décision d'un organisme de sécurité sociale?
Qu'est-ce qu'un crédit hypothécaire ?,Droit financier,What is a mortgage credit?,What is a mortgage credit?,Qu'est-ce qu'un crédit hypothécaire?
J'ai signé une déclaration de cohabitation légale. Dois-je payer les dettes de mon cohabitant légal ?,Droit de la famille,I signed a declaration of legal cohabitation. Do I have to pay the debts of my legal cohabitant?,Do I have to pay my legal cohabitant's debts?,Dois-je payer les dettes de mon cohabitant légal ?
J'ai divorcé pour cause de désunion irrémédiable. Puis-je modifier le montant de la pension alimentaire ?,Droit de la famille,I was divorced because of irremediable disunity. Can I change the amount of support?,I was divorced because of irremediable disunity.,J'étais divorcée à cause d'une désunion irrémédiable.
